anime_id,Name,Score,Genres,English name,Japanese name,sypnopsis,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
40010,Ishuzoku Reviewers,7.58,"Comedy, Ecchi, Fantasy",Interspecies Reviewers,異種族レビュアーズ,"Countless diverse races, from perky fairies to oozing slimes, inhabit the world. Naturally, such a melting pot of creatures has a broad and alluring variety of brothels. With so many options to choose from, it is hard to decide with which succu-girl to have a meaningful, interpersonal experience. Fortunately, a tight group of brave warriors has come together to enlighten the public. These perverted adventurers take it upon themselves to assess the appeal of all types of succu-girls through hands-on research. Whether it be the scorchingly hot salamanders or the udderly hu-moo-ngous cow-girls, the Yoruno Gloss reviewers leave no species behind. Directed by the mastermind behind Miru Tights , Ishuzoku Reviewers seeks to answer one of the most pressing questions there is: which species is the sexiest?",TV,12,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Toyo Recording",Unknown,Passione,Manga,23 min. per ep.,R+ - Mild Nudity,1336,444,311653,19223,78335,149781,9911,17849
40028,Shingeki no Kyojin: The Final Season,9.17,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",Attack on Titan Final Season,進撃の巨人 The Final Season,"Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps. Having finally reached the Yeager family basement and learned about the dark history surrounding the titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls. In Shingeki no Kyojin: The Final Season , two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.",TV,16,"Dec 7, 2020 to ?",Winter 2021,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity),2,119,733260,44862,566239,553,6658,2090
40046,Id:Invaded,7.9,"Mystery, Police, Psychological, Sci-Fi",ID:INVADED,ID:INVADED イド:インヴェイデッド,"The Mizuhanome System is a highly advanced development that allows people to enter one of the most intriguing places in existence—the human mind. Through the use of so-called ""cognition particles"" left behind at a crime scene by the perpetrator, detectives from the specialized police squad Kura can manifest a criminal's unconscious mind as a bizarre stream of thoughts in a virtual world. Their task is to explore this psychological plane, called an ""id well,"" to reveal the identity of the culprit. Not just anyone can enter the id wells; the prerequisite is that you must have killed someone yourself. Such is the case for former detective Akihito Narihisago, who is known as ""Sakaido"" inside the id wells. Once a respected member of the police, tragedy struck, and he soon found himself on the other side of the law. Nevertheless, Narihisago continues to assist Kura in confinement. While his prodigious detective skills still prove useful toward investigations, Narihisago discovers that not everything is as it seems, as behind the seemingly standalone series of murder cases lurks a much more sinister truth.",TV,13,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,"Toei Animation, BS11, Kadokawa Media House, NTT Plala, Kadokawa, Anima&Co.",Funimation,NAZ,Original,24 min. per ep.,R - 17+ (violence & profanity),672,704,211234,1833,22108,104730,6639,8513
40129,Rebirth,5.34,"Game, Slice of Life, Comedy",Unknown,りばあす,The series revolve around a team of 12 high school students who love to play the trading card game Rebirth For You. (Source: Anime News Network),TV,Unknown,"Jan 5, 2020 to ?",Winter 2020,LIDENFILMS Osaka Studio,Unknown,LIDENFILMS,Card game,3 min.,PG-13 - Teens 13 or older,10077,7738,3142,3,827,1,197,529
40136,Oda Cinnamon Nobunaga,6.55,"Slice of Life, Comedy, Historical, Seinen",Oda Cinnamon Nobunaga,織田シナモン信長,"In the ""one-of-a-kind samurai-general-reincarnated-as-a-canine comedy,"" Nobunaga perishes at Honnouji as in history, and reincarnates in modern-day Japan as a dog named Shinamon. Other Warring States era warlords such as Takeda Shingen eventually join him, also as dogs. (Source: ANN)",TV,12,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"TV Tokyo, Dentsu, Shochiku, Avex Pictures, Amuse, Sammy, North Stars Pictures, Mixer",Unknown,Studio Signpost,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5634,4178,14879,34,1913,5000,647,2583
40137,ARP Backstage Pass,5.59,Music,Unknown,ARP Backstage Pass,"P: A 4-member dance and vocal group created by the latest AR technology. This popular group got their start with Avex, and are unique for their interactive concerts which combine highly-skilled song and dance routines with a format that changes based on how much the fans are cheering them on. (Source: Crunchyroll)",TV,10,"Jan 13, 2020 to Mar 30, 2020",Winter 2020,"Avex Entertainment, Mainichi Broadcasting System, Asmik Ace, Tokyo MX, Kadokawa, YUKE'S",Unknown,Dynamo Pictures,Other,23 min. per ep.,PG-13 - Teens 13 or older,9455,6485,5003,12,441,1250,161,858
40148,22/7,6.81,Music,22/7,22/7,"u Takigawa views the world from behind the safety of her bangs, content with peacefully passing unnoticed through life. Reserved and timid, Miu struggles to converse with or even smile at customers when at her part time job, but she works tirelessly to support her mother and precious little sister, Haru. It is a shock when a letter arrives from the entertainment company GIP, announcing that she has been chosen as a candidate for their new project. Miu decides to accept the invitation and heads to the meeting spot where the eccentric ensemble of other candidates filter in, all summoned by their own letters. Not long after, the girls are escorted by a manager to a luxurious secret facility, where it is explained that they must follow the mysterious directions of ""The Wall,"" whose orders are absolute. The 24th of December, 2016, will see the birth of idols like no other; on that day, the group 22/7 will debut, whether or not Miu and the other members are ready to take the stage.",TV,12,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"Aniplex, Tokyo MX, Nagoya Broadcasting Network, BS11, Shogakukan, ABC Animation, Buzz Wave",Aniplex of America,A-1 Pictures,Other,24 min. per ep.,PG-13 - Teens 13 or older,4398,3028,29141,144,2817,11558,1071,2851
40230,Housekishou Richard-shi no Nazo Kantei,7.16,"Drama, Mystery, Slice of Life",The Case Files of Jeweler Richard,宝石商リチャード氏の謎鑑定,"Possessing a deep knowledge of mineralogy, Richard Ranashinha de Vulpian is a young and handsome British jewelry appraiser who owns a small shop in Japan. One fateful night, Seigi Nakata, a righteous college student, saves him from drunks who were harassing him due to his good looks. Upon learning of Richard's identity, Seigi hires him to appraise a pink sapphire ring that was left behind by his deceased grandmother. Before long, Seigi becomes a trusted part-timer at Richard's shop. Together, the duo solve various jewel-related requests from diverse clients of different backgrounds. Step by step, they unravel the hidden motives and feelings that lie within the gems in order to understand and empathize with the little stories behind each piece of jewelry.",TV,12,"Jan 9, 2020 to Mar 26, 2020",Winter 2020,"Nippon Animation, WOWOW, Sotsu, Movic, AT-X, Studio Mausu, Avex Pictures, Q-Tec, Hakuhodo DY Music & Pictures, BS11, GYAO!, entama",Unknown,Shuka,Novel,23 min. per ep.,PG-13 - Teens 13 or older,2939,2516,41085,189,4250,16877,1508,3297
40392,Runway de Waratte,7.65,"Slice of Life, Drama, School, Shounen",Smile Down the Runway,ランウェイで笑って,"Being the daughter of a modeling agency owner, Chiyuki Fujito aspires to represent her father's agency in the prestigious Paris Fashion Week, shining under the spotlight as a runway model. However, although she is equipped with great looks and talent, she unfortunately lacks a key element in becoming a successful model—height. Stuck at 158 cm even after entering high school, her childhood dream seems out of reach. Meanwhile, Ikuto Tsumura is a high school student with a knack in designing clothes; however, without the resources to pursue the necessary education, his ambition of becoming a fashion designer remains a mere dream. But as fate brings Chiyuki and Ikuto together, the dim hopes within their hearts are ignited once again. Together, the two promise to rebel against convention and carve out their own paths in the fashion world.",TV,12,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"Mainichi Broadcasting System, Kodansha, DMM pictures",Funimation,Ezόla,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1148,1646,81601,298,7709,40249,2503,3422
40483,Murenase! Seton Gakuen,7.08,"Comedy, School",Seton Academy:Join the Pack!,群れなせ！シートン学園,"Seton Academy is a place attended by a plethora of interesting and diverse animal species. Jin Mazama is one of the few humans there, who also happens to vehemently hate animals from the bottom of his heart! One day, he stumbles upon the rowdy and assertive girl Ranka Ookami, a small ""lone wolf"" without a pack, who has not a single friend. The desperate Ranka tries to invite Jin into joining her pack; Jin, who hates animals, naturally refuses. Amid this situation, Jin meets Hitomi Hino, a fellow human, and promptly becomes infatuated with her. After getting to know each other, the two decide to create a cooking club, and after a few bad-blooded misunderstandings, Ranka soon joins the club as well. Thus begins the howl-some and howl-arious story of two normal humans; an adorable wolf; a cheerful koala; a sluggish, blonde sloth; and a feline with cattitude in their newfound club—in a story that teaches that friendship can be forged by creatures of different kinds.",TV,12,"Jan 7, 2020 to Mar 24, 2020",Winter 2020,"Animax, Tokyo MX, Cygames, Legs, Happinet",Unknown,Studio Gokumi,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3297,1179,125231,477,13505,74782,3038,6081
